ClockTime,Gen,BestFitness,MeanFitness,MeanSpecieChampFitness,ChampComplexity,MeanComplexity,MaxComplexity,TotalEvaluationCount,EvaluationsPerSec,SearchMode
2017-05-13 12:08:53.263,0,0,0,0,7,0,0,0,0,Complexifying
2017-05-13 12:09:05.713,1,0.4371302338735,0.0495388014111179,0.112670339687909,7,7.0675,10,3679,0,Complexifying
2017-05-13 12:09:19.822,2,0.4371302338735,0.083556319961657,0.216900624156944,7,7.205,11,5299,114,Complexifying
2017-05-13 12:09:34.648,3,0.4371302338735,0.0960305526169547,0.212180061302499,7,7.146,10,6901,108,Complexifying
2017-05-13 12:09:49.929,4,0.4371302338735,0.0928482906996001,0.239099400098624,7,7.0525,10,8578,109,Complexifying
ClockTime,Gen,BestFitness,MeanFitness,MeanSpecieChampFitness,ChampComplexity,MeanComplexity,MaxComplexity,TotalEvaluationCount,EvaluationsPerSec,SearchMode
2017-05-13 12:10:25.762,0,0,0,0,1,0,0,0,0,Complexifying
2017-05-13 12:10:27.532,1,13.1624158186023,1.54783988857722,2.65762172570355,1,1.016,2,783,0,Complexifying
2017-05-13 12:10:29.253,2,15.1466547799181,2.5424155586928,6.93470460904475,1,1.166,3,1229,259,Complexifying
2017-05-13 12:10:30.993,3,20.4569825766998,2.27887079274222,5.21784801913983,2,1.072,2,1700,270,Complexifying
2017-05-13 12:10:32.916,4,22.8378371679807,3.98846906415266,7.4383302162451,2,1.78,3,2164,241,Complexifying
2017-05-13 12:10:34.931,5,38.0547129116736,5.76729349302997,9.61083473093537,4,1.59,4,2629,230,Complexifying
2017-05-13 12:10:36.961,6,43.8921038789078,12.5739466091344,7.28498723850891,4,2.536,5,3071,217,Complexifying
2017-05-13 12:10:38.772,7,44.0818383235251,11.4250700527937,10.8022437026771,4,2.272,5,3491,232,Complexifying
2017-05-13 12:10:40.844,8,52.8898960764503,17.5050904484009,13.0703535978647,6,3.124,6,3922,207,Complexifying
2017-05-13 12:10:42.996,9,55.2272920704285,23.8563230639981,13.4292850312538,6,4.034,7,4332,190,Complexifying
2017-05-13 12:10:45.212,10,59.825542820515,31.7824776598447,20.3118846458828,7,4.834,8,4741,184,Complexifying
2017-05-13 12:10:47.421,11,61.4281191935017,31.1097834421926,29.4928324677023,6,5.18,9,5147,183,Complexifying
2017-05-13 12:10:49.961,12,61.4281191935017,33.7024084377258,29.8715202277235,6,5.328,10,5557,180,Complexifying
2017-05-13 12:10:52.263,13,63.3293751801079,34.5852695825426,34.0160785338145,5,5.594,9,5957,155,Complexifying
2017-05-13 12:10:54.668,14,64.1712927713233,41.6969581368966,35.140254328589,5,6.204,9,6361,167,Complexifying
2017-05-13 12:10:56.996,15,64.1712927713233,38.2760787870389,38.2602336586581,5,6.21,10,6760,171,Complexifying
